vibration,temperature,current,pressure,state,label,state_encoded
3.1177777623465563,72.8892761505192,10.357372824944472,133.42236260950085,degraded,1,0
4.24747395871272,88.84023947286167,11.705845017508512,134.30078171113232,failure,2,1
2.84327455291454,87.13569038080708,10.840746228709008,129.03388495780007,degraded,1,0
2.7404605904273485,85.3355429820023,11.248707563209928,135.3105431104703,degraded,1,0
1.9627793223928949,68.5384330140386,9.300949180022208,161.57432646204143,normal,0,2
4.2208955407674935,89.42778631406303,11.353033483812773,132.41410928217138,failure,2,1
2.7772220755950103,71.80210205732126,10.630424759999656,139.16248184118007,degraded,1,0
2.99654241658718,85.1143006717575,10.541499969258435,127.73442698503612,degraded,1,0
3.039310021363009,72.20175312898253,9.824575284961764,120.0261526196552,degraded,1,0
3.0209477511323843,80.26009852475512,10.406640203032296,129.30398632738195,degraded,1,0
2.904566443102211,77.73975810579523,10.935537241154057,129.25653239898742,degraded,1,0
2.973705820514398,81.59727040687653,10.18019669750904,138.40394301034385,degraded,1,0
4.058565768717337,81.53804005171614,10.136835722543925,130.70104387466205,failure,2,1
3.1515411880254023,79.82255417795375,10.689233677726904,130.46729260288132,degraded,1,0
1.954215161381751,64.4820727455258,8.342502325979668,139.88964666044873,normal,0,2
1.9911717951648744,73.38405534737653,8.158438308612865,162.2933760408305,normal,0,2
4.059039073631768,91.7769667050116,10.55641970403593,131.90026231357265,failure,2,1
2.032307927311603,64.17985111808956,8.375980210710892,138.27606893477508,normal,0,2
2.9594449954858244,79.89046271838502,10.976553599136288,139.6369572666661,degraded,1,0
4.1210266031517895,88.73872779115268,10.240641306439423,137.78148017519567,failure,2,1
3.9546675592552,92.9211647448169,10.750707260729126,146.5994674053183,failure,2,1
1.8806074993600943,65.46456505798206,9.236318874781164,166.73475109644477,normal,0,2
2.0439501230620225,67.53154363641437,8.694553468114552,162.55869325010653,normal,0,2
3.805945734818352,83.91210349966182,11.081829349144018,133.8440199424317,failure,2,1
1.8777872191108052,67.31724489806027,8.397861705782793,147.188843943378,normal,0,2
2.1105525932957985,68.85784849307124,8.771460344362405,141.42746315452138,normal,0,2
2.155115197552252,65.3759425614518,9.001201303227125,150.5063886105758,normal,0,2
3.794729275522021,97.15248577602765,11.156151082305009,134.9523253942819,failure,2,1
2.712397667098455,74.11549437850593,10.16813894462378,130.0250518122193,degraded,1,0
2.088310977714716,64.7470291097084,8.423296036723984,173.94830675883645,normal,0,2
2.803894532665355,73.60851146202064,9.684987510233054,139.94069964194145,degraded,1,0
2.0408252755714478,59.46660328622701,8.9373911458634,153.54448111809782,normal,0,2
1.8888542043062968,65.80114052990402,8.711744243111134,158.5511177889095,normal,0,2
2.053450564848055,67.88488013408997,8.363716259138194,163.4640851693424,normal,0,2
2.9527055017070816,76.23590919733448,10.123041807658204,129.58460981680807,degraded,1,0
4.036061010267501,85.69738933668658,10.675049908549717,143.404026805507,failure,2,1
3.041487225838657,80.03422432329741,9.214559271437045,144.15011731604486,degraded,1,0
2.0308050539504103,63.72714215587918,8.61437895002917,147.4260579337694,normal,0,2
